claim_id,evidence_type_code,assertion_scope,source_position,assessment_notes
C0117,AUTHOR_SYNTHESIS,author_inference,prefers,The connection is organizational/tribal and should not be presented as a continuous family pedigree.
C0118,REJECTED_HYPOTHESIS,scholarly_opinion,rejects,"Retained to document historiography, not as an active origin conclusion."
C0119,SCHOLARLY_OPINION,scholarly_opinion,presents,Attributed to earlier writers including Malcolm and others discussed by the author.
C0120,AUTHOR_SYNTHESIS,author_inference,prefers,Historical affiliation rather than blood descent.
C0121,AUTHOR_INFERENCE,author_inference,unresolved,The name Gharagoz may be personal rather than tribal.
C0122,AUTHOR_INFERENCE,author_inference,unresolved,Possible continuity is discussed but not proved.
C0123,NARRATIVE_FACT,author_statement,supports,Supported by named Safavid-period officeholders and military actors.
C0124,AUTHOR_SYNTHESIS,author_statement,supports,Synthesizes military and landed evidence.
C0125,NARRATIVE_FACT,author_statement,supports,Supported by chronicle reports and named commanders.
C0126,AUTHOR_SYNTHESIS,author_statement,supports,Records the chapter's methodological caution.
C0127,NARRATIVE_FACT,author_statement,supports,Explicit list in narrative text.
C0128,AUTHOR_INFERENCE,author_inference,questions,Author presents the link as probable.
C0129,ARCHIVE_SYNTHESIS,archive_synthesis,supports,Combined from multiple dated narrative passages.
C0130,NARRATIVE_FACT,author_statement,supports,Explicit title-grant context.
C0131,ARCHIVE_SYNTHESIS,archive_synthesis,supports,Multiple narrative passages reconciled.
C0132,NARRATIVE_FACT,author_statement,supports,Approximate scale reported by author.
C0133,ARCHIVE_SYNTHESIS,archive_synthesis,supports,Whole-book negative finding.
C0134,ARCHIVE_SYNTHESIS,archive_synthesis,supports,Whole-book negative finding.
C0135,ARCHIVE_SYNTHESIS,archive_synthesis,supports,Identity collision resolved from index and bibliography context.
C0136,NARRATIVE_FACT,author_statement,supports,Explicit lineage.
C0137,ARCHIVE_SYNTHESIS,archive_synthesis,supports,Chronological reconciliation of Chapter 4.
C0138,AUTHOR_SYNTHESIS,author_statement,presents,Political interpretation belongs to the book author.
C0139,ARCHIVE_SYNTHESIS,archive_synthesis,unresolved,Conflict between two passages in S0001.
C0140,NARRATIVE_FACT,author_statement,supports,Explicit succession statements.
C0141,ARCHIVE_SYNTHESIS,archive_synthesis,supports,Multiple campaign passages combined.
C0142,ARCHIVE_SYNTHESIS,archive_synthesis,supports,Regimental and campaign passages combined.
C0143,ARCHIVE_SYNTHESIS,archive_synthesis,supports,Military and genealogical evidence combined.
C0144,ARCHIVE_SYNTHESIS,archive_synthesis,supports,Whole-book negative finding.
C0145,ARCHIVE_SYNTHESIS,archive_synthesis,supports,Rank and campaign evidence combined.
C0146,ARCHIVE_SYNTHESIS,archive_synthesis,supports,Marriage and diplomatic mission evidence combined.
C0147,ARCHIVE_SYNTHESIS,archive_synthesis,supports,Hereditary succession reconstruction.
C0148,NARRATIVE_FACT,author_statement,supports,Explicit dates.
C0149,AUTHOR_SYNTHESIS,author_statement,presents,Political orientation partly interpretive.
C0150,ARCHIVE_SYNTHESIS,archive_synthesis,supports,Variant title forms preserved.
C0151,NARRATIVE_FACT,author_statement,supports,Explicit marriage event.
