citation_id,source_id,page_printed,page_file,locator_text,quoted_text,notes
X0001,S0001,61,,"Chapter 2, discussion of the Amir Nezam Letgahi family","The Amir Nezam Letgahi family is traced through Abdollah Khan, son of Mostafa Qoli Khan E'temad al-Saltaneh, son of Mohammad Baqer Khan, son of Haji Mohammad Khan Jeyhunabadi; Mohtaj Ali Khan and Mansur Ali Khan are named as his sons.",
X0002,S0001,61,,Same passage,"Letgah is identified as the family's main center, and Kabudarahang as another important landed area.",
X0003,U0001,,,User correction in project conversation,"The user's father belongs under Gholamhossein Khan, not Gholam Ali; Gholam Ali and Gholamhossein are brothers.",
X0004,U0001,,,User visual correction of family-tree figure,Mansur Ali Khan has no descendants shown in the figure.,
X0005,S0001,152,,Khuzestan appointment and title grants,Abdollah Khan was appointed governor of Khuzestan; Hossein Qoli Khan received Sa'ed al-Saltaneh and Mohtaj Ali Khan received Ejlal al-Mamalek.,
X0006,S0001,61,,Amir Nezam Letgahi family,Mohtaj Ali Khan Ejlal al-Mamalek Amir Arfa' and Mansur Ali Khan Sardar Akram are identified as sons of Abdollah Khan.,
X0007,S0001,224,,Index entry,The index lists Mohtaj Ali Khan Ejlal al-Mamalek Amir Arfa' on pages 61 and 152.,
X0008,S0001,60,,Chapter 2 genealogy of the Ashiqloo branch,"Mohammad Hossein Khan had five sons, including Nabi Khan Gharagozloo.",Supports parentage and branch.
X0009,S0001,119,,"Chapter 3, section 3-2-8","Thousands of Gharagozloo troops served in the Herat campaign under Nabi Khan; Abdollah Khan, holding the rank of yavar, supported his troops.",Herat deployment and ranks.
X0010,S0001,119,,Same passage,"In 1255 AH British forces attacked Bushehr; fifty Gharagozloo soldiers guarded the port, but the small Iranian force could not prevent occupation.",Bushehr guard.
X0011,S0001,120,,Herat fortress fighting,Abdollah Khan was wounded and consequently obtained the rank of sarhang; Gharagozloo troops worked to capture the fortress and open its gates.,Promotion and combat role.
X0012,S0001,120,,Herat fortress fighting,Shir Ali Khan repeatedly climbed the fortress wall and attempted to plant the victory flag; he received a robe of honor and decoration.,Individual valor.
X0013,S0001,120,,Herat casualties,"Rashid Khan, a colonel of the Mokhberan regiment, was wounded in the leg; Nabi Khan was severely wounded and died shortly afterward.",Wounds and death.
X0014,S0001,121,,Aftermath of Herat fighting,"By order of Mohammad Shah, Nabi Khan and other Gharagozloo dead were transferred for burial in Mashhad.",Burial.
X0015,S0001,128,,Administrative section on Mahmoud Khan,Mahmoud Khan was the son of Nabi Khan and a descendant of Mohammad Hossein Khan Ashiqloo; after Nabi Khan’s death at Herat Mohammad Shah issued a decree concerning him.,Genealogy and succession context.
X0016,S0001,135,,"Chapter 3, Anglo-Persian War",Mahmoud Khan advocated peace; Mostafa Qoli Khan Mirpanj attempted to stop the British ship at Bandar Lengeh and exchanged fire before withdrawing inland.,
X0017,S0001,135-136,,Southern campaign,Rustam Khan and his son Ali Khan joined Iranian forces against the British; Ali Khan suffered a superficial arm wound and three Gharagozloo soldiers were captured.,
X0018,S0001,137,,Laristan and Kerman operations,Ali Naqi Khan defeated Nasrallah Khan in Bikhuh; Ali Khan Nosrat al-Molk and Lotf Ali Khan served with Gharagozloo troops in Kerman.,
X0019,S0001,137,,Kerman rewards,"Mohammad Hossein Khan, son of Ali Khan, was granted the title Hosam al-Molk in 1287 AH for service in Kerman.",
X0020,S0001,139,,Hosam al-Molk family marriage,Zeyn al-Abedin Khan married his son Gholamreza Khan Ehtesham al-Saltaneh to Qamar al-Saltaneh in 1309 AH in a costly month-long celebration.,
X0021,S0001,140,,Hamadan arrests,"Hosam al-Molk, Saed al-Saltaneh, and Zia al-Molk were blamed for unrest, dismissed, and detained in 1310 AH.",
X0022,S0001,141,,Hosam al-Molk offices and bribes,Hosam al-Molk offered very large payments to obtain provincial governments and was ultimately appointed governor of Kermanshah on 12 Rabi I 1311 AH.,
X0023,S0001,141,,Aqa Jan case,"Aqa Jan Gharagozloo, a yavar, fled after Pavlov was killed in an altercation with his servant Hasan Tupchi; he was arrested in Hamadan and delivered to the Russian embassy.",
X0024,S0001,142,,Late Qajar military decline and Shiraz mission,"The role of tribal regiments declined; Gharagozloo forces under Saed al-Saltaneh were sent against unrest in Shiraz in Shawwal 1311 AH, with seven or eight deaths.",
X0025,S0001,142-143,,Mahmoud Khan succession and governorships,"Mahmoud Khan, son of Nabi Khan, inherited his father’s command, served as deputy governor in Hamadan, and received several district governments.",
X0026,S0001,143,,Mahmoud Khan promotion,"After Nabi Khan’s death, Mahmoud Khan was appointed colonel in 1254 AH and promoted to sartip in 1255 AH before service in Khorasan.",
X0027,S0001,144-145,,Mahmoud Khan diplomatic and ministerial career,"Mahmoud Khan served as envoy to Russia, returned as mirpanj, and later held senior ministries and ceremonial diplomatic assignments.",
X0028,S0001,146-147,,Mahmoud Khan industry and offices,"Mahmoud Khan imported machinery for a steam spinning mill, became first minister of commerce, and held posts in Gilan, Khorasan, Kurdistan, and London diplomacy.",
X0029,S0001,147-150,,Deaths and family relations,"The book records deaths, marriages, succession, and offspring among Sarem al-Saltaneh, Ali Naqi Khan, Ali Khan, Amanollah Khan, Mostafa Qoli Khan, Mahmoud Khan, and Hosam al-Molk.",
X0030,S0001,151-153,,Mozaffar al-Din Shah period appointments,"Hosam al-Molk, Abdollah Khan Sardar Akram, and their sons received governorships, titles, and honors; Islamiyyeh School was founded at Shervin.",
X0031,S0001,154-158,,Hamadan grain crisis,"Gharagozloo khans restricted grain, resisted official orders, and attempted to remove Vakil al-Roaya after the bread crisis.",
X0032,S0001,159-161,,Mohammad Ali Shah and Jamal al-Din Vaez,Gharagozloo regiments fought Tabriz Constitutionalists and Amir Afkham ordered the killing of Seyyed Jamal al-Din Vaez in Borujerd.,
X0033,S0001,161-163,,Regency and Salar al-Dowleh,Naser al-Molk became regent; Gharagozloo khans participated ambiguously in the Salar al-Dowleh crisis; the Second Majles was dissolved.,
X0034,S0001,164-166,,World War I to fall of Qajars,Alireza Baha al-Molk entered the Third Majles; Russian forces occupied Hamadan with Amir Afkham’s support; Amir Nezam served as war minister and was arrested after the 1921 coup; Zia al-Molk Farmand joined the Constituent Assembly.,
X0035,S0001,167,,"Chapter 4, printed page 167",,Chapter 4 mining package
X0036,S0001,168,,"Chapter 4, printed page 168",,Chapter 4 mining package
X0037,S0001,169,,"Chapter 4, printed page 169",,Chapter 4 mining package
X0038,S0001,170,,"Chapter 4, printed page 170",,Chapter 4 mining package
X0039,S0001,171,,"Chapter 4, printed page 171",,Chapter 4 mining package
X0040,S0001,172,,"Chapter 4, printed page 172",,Chapter 4 mining package
X0041,S0001,173,,"Chapter 4, printed page 173",,Chapter 4 mining package
X0042,S0001,174,,"Chapter 4, printed page 174",,Chapter 4 mining package
X0043,S0001,175,,"Chapter 4, printed page 175",,Chapter 4 mining package
X0044,S0001,176,,"Chapter 4, printed page 176",,Chapter 4 mining package
X0045,S0001,177,,"Chapter 4, printed page 177",,Chapter 4 mining package
X0046,S0001,178,,"Chapter 4, printed page 178",,Chapter 4 mining package
X0047,S0001,179,,"Chapter 4, printed page 179",,Chapter 4 mining package
X0048,S0001,180,,"Chapter 4, printed page 180",,Chapter 4 mining package
X0049,S0001,181,,"Chapter 4, printed page 181",,Chapter 4 mining package
X0050,S0001,182,,"Chapter 4, printed page 182",,Chapter 4 mining package
X0051,S0001,183,,"Chapter 4, printed page 183",,Chapter 4 mining package
X0052,S0001,184,,"Chapter 4, printed page 184",,Chapter 4 mining package
