place_id,preferred_name_en,preferred_name_fa,place_type,parent_place_id,notes
L0001,Hamadan,همدان,province/city,,
L0002,Kabudarahang,کبودرآهنگ,county/town,L0001,Important property center of the Amir Nezam Letgahi family.
L0003,Letgah,لتگاه,village,L0001,Primary center of the Amir Nezam Letgahi family; part of Lalejin district.
L0004,Lalejin,لالجین,district/town,L0001,
L0005,Khuzestan,خوزستان,province,,
L0006,Herat,هرات,city/region,,Location of Mohammad Shah’s Herat campaign.
L0007,Bushehr,بوشهر,port/city,,Persian Gulf port attacked by British forces in 1255 AH.
L0008,Mashhad,مشهد,city,,Burial place of Nabi Khan and other Gharagozloo casualties by order of Mohammad Shah.
L0009,Bandar Lengeh,بندر لنگه,port/city,,
L0010,Dalaki,دالکی,town/river area,,
L0011,Kerman,کرمان,province/city,,
L0012,Laristan,لارستان,region,,
L0013,Bikhuh district,محال بیخو,district,,
L0014,Kermanshah,کرمانشاه,province/city,,
L0015,Gilan,گیلان,province,,
L0016,Kurdistan,کردستان,province,,
L0017,Khuzestan,خوزستان,province,,
L0018,Borujerd,بروجرد,city,,
L0019,Shervin,شروین,village/estate,L0001,Major Gharagozloo residence and estate near Hamadan.
L0020,Tabriz,تبریز,city,,
L0021,Shiraz,شیراز,city,,
L0022,Tehran,تهران,city,,
L0023,Oxford,آکسفورد,city,,
L0024,Europe,اروپا,region,,
L0025,Istanbul,استانبول,city,,
L0026,Paris,پاریس,city,,
L0027,Iran,ایران,country,,
L0028,Baharestan,بهارستان,district,,
L0029,Ouchy,اوشی,locality,,
L0030,Bahar,بهار,town/estate center,L0001,Center of the Naser al-Molk Bahari family.
L0031,Abshineh,آبشینه,village/estate,L0001,Associated with the Baha al-Molk family.
L0032,Sorkhabad,سرخ‌آباد,village/estate,L0001,Early property center of Haji Amanollah Khan Baha al-Molk.
L0033,Zagheh,زاغه,village/estate,L0001,Later property center of the Baha al-Molk family.
L0034,Malayer,ملایر,region/city,,Associated with a regiment commanded in 1268 AH.
L0035,Tuyserkan,تویسرکان,region/city,,Associated with a regiment commanded in 1268 AH.
L0036,Ray,ری,city,,Seljuk and Khwarazmian conflict setting.
L0037,Kahran Fortress,قلعه کهران,fortress,,Fortress near the Aras associated with Tughril III's imprisonment.
L0038,Balkh,بلخ,city/region,,Timurid-Safavid conflict setting.
L0039,Gharjistan,غرجستان,region,,Area in which Amir Jafar Ali Gharagoz served Mohammad-Zaman Mirza.
L0040,Kerman,کرمان,province/city,,Governorship of Ebrahim Khan Gharagozloo in 1129 AH.
L0041,Tabriz,تبریز,city,,Site of resistance to Afghan forces in 1138 AH.
L0042,Zahab,زهاب,region,,Governorship granted to Mohammad-Hossein Khan under the Zands.
L0043,Yazd,یزد,city/province,,Zand-era military operations involving Gharagozloo forces.
L0044,Kohgiluyeh,کهگیلویه,region,,Zand-era mission led by Mohammad-Hossein Khan.
L0045,Qazvin,قزوین,city,,Zand-Qajar conflict involving Gharagozloo forces.
L0046,"Shrine of Seyyed Hamzeh, Tabriz",مزار سید حمزه، تبریز,shrine,L0020,Burial place of Sheikh Mohammad Jafar Khan Majzub Ali Shah according to S0001.
